	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
254	0.00865	0.20596	0.01234	-0.04292	0.49867	0.02458
255	0.00837	0.20623	0.01229	-0.04312	0.49904	0.02608
256	0.00798	0.20646	0.01227	-0.04339	0.49942	0.02776
257	0.00756	0.20659	0.01229	-0.04367	0.49981	0.02963
258	0.00718	0.20656	0.01235	-0.04391	0.50021	0.03167
259	0.00691	0.20643	0.01243	-0.04402	0.50062	0.03388
260	0.00678	0.20629	0.01251	-0.04397	0.50106	0.03623
261	0.00676	0.20624	0.01254	-0.04376	0.50156	0.03867
262	0.00681	0.20634	0.01253	-0.04345	0.50212	0.04120
263	0.00690	0.20656	0.01248	-0.04312	0.50274	0.04382
264	0.00697	0.20684	0.01242	-0.04281	0.50341	0.04654
265	0.00701	0.20715	0.01237	-0.04255	0.50409	0.04937
266	0.00702	0.20744	0.01235	-0.04236	0.50480	0.05225
267	0.00704	0.20772	0.01236	-0.04221	0.50554	0.05511
268	0.00710	0.20798	0.01237	-0.04212	0.50633	0.05786
269	0.00722	0.20821	0.01238	-0.04216	0.50719	0.06045
270	0.00738	0.20838	0.01241	-0.04238	0.50813	0.06288
271	0.00757	0.20848	0.01246	-0.04279	0.50915	0.06517
272	0.00774	0.20848	0.01253	-0.04332	0.51023	0.06735
273	0.00788	0.20842	0.01262	-0.04390	0.51135	0.06944
274	0.00798	0.20834	0.01276	-0.04450	0.51245	0.07142
275	0.00804	0.20828	0.01293	-0.04511	0.51351	0.07326
276	0.00807	0.20830	0.01313	-0.04576	0.51448	0.07489
277	0.00810	0.20842	0.01332	-0.04643	0.51529	0.07624
278	0.00813	0.20861	0.01350	-0.04710	0.51590	0.07722
279	0.00814	0.20880	0.01367	-0.04773	0.51633	0.07780
280	0.00811	0.20895	0.01384	-0.04828	0.51661	0.07795
281	0.00805	0.20901	0.01399	-0.04871	0.51681	0.07766
282	0.00800	0.20903	0.01408	-0.04894	0.51697	0.07697
283	0.00798	0.20901	0.01410	-0.04891	0.51713	0.07592
284	0.00803	0.20898	0.01406	-0.04858	0.51728	0.07462
285	0.00815	0.20894	0.01400	-0.04796	0.51742	0.07317
286	0.00832	0.20890	0.01394	-0.04713	0.51755	0.07164
287	0.00850	0.20887	0.01390	-0.04620	0.51769	0.07007
288	0.00865	0.20886	0.01388	-0.04532	0.51786	0.06849
289	0.00872	0.20887	0.01387	-0.04461	0.51809	0.06690
290	0.00870	0.20891	0.01385	-0.04418	0.51840	0.06528
291	0.00859	0.20897	0.01380	-0.04408	0.51878	0.06362
292	0.00846	0.20903	0.01372	-0.04431	0.51921	0.06190
293	0.00835	0.20908	0.01364	-0.04485	0.51966	0.06010
294	0.00827	0.20914	0.01358	-0.04556	0.52007	0.05821
295	0.00824	0.20924	0.01354	-0.04633	0.52036	0.05618
296	0.00823	0.20939	0.01353	-0.04705	0.52045	0.05400
297	0.00826	0.20955	0.01353	-0.04771	0.52029	0.05168
298	0.00832	0.20968	0.01354	-0.04833	0.51990	0.04925
299	0.00840	0.20977	0.01352	-0.04894	0.51933	0.04680
300	0.00846	0.20984	0.01347	-0.04953	0.51867	0.04442
301	0.00847	0.20989	0.01340	-0.05003	0.51801	0.04220
302	0.00841	0.20994	0.01334	-0.05037	0.51743	0.04022
303	0.00829	0.20999	0.01331	-0.05044	0.51699	0.03845
304	0.00814	0.21006	0.01331	-0.05017	0.51671	0.03682
305	0.00799	0.21015	0.01337	-0.04955	0.51656	0.03523
306	0.00787	0.21026	0.01349	-0.04866	0.51646	0.03365
307	0.00777	0.21037	0.01369	-0.04761	0.51634	0.03211
308	0.00768	0.21047	0.01398	-0.04654	0.51620	0.03068
309	0.00759	0.21052	0.01435	-0.04559	0.51605	0.02942
310	0.00749	0.21053	0.01481	-0.04482	0.51593	0.02835
311	0.00741	0.21048	0.01534	-0.04434	0.51590	0.02745
312	0.00736	0.21041	0.01593	-0.04418	0.51597	0.02670
313	0.00734	0.21038	0.01654	-0.04439	0.51614	0.02609
314	0.00733	0.21043	0.01715	-0.04490	0.51638	0.02562
315	0.00733	0.21059	0.01771	-0.04561	0.51664	0.02529
316	0.00733	0.21084	0.01817	-0.04634	0.51687	0.02509
