	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
285	0.21363	0.05513	0.02397	-0.00463	0.40646	0.01002
286	0.21397	0.05566	0.02589	-0.00447	0.40663	0.00958
287	0.21436	0.05601	0.02817	-0.00411	0.40688	0.00910
288	0.21476	0.05621	0.03070	-0.00374	0.40721	0.00875
289	0.21519	0.05646	0.03328	-0.00363	0.40758	0.00857
290	0.21566	0.05690	0.03593	-0.00392	0.40777	0.00855
291	0.21630	0.05748	0.03884	-0.00446	0.40765	0.00868
292	0.21725	0.05802	0.04216	-0.00493	0.40731	0.00887
293	0.21857	0.05846	0.04584	-0.00517	0.40697	0.00897
294	0.22010	0.05884	0.04977	-0.00527	0.40684	0.00899
295	0.22166	0.05918	0.05387	-0.00530	0.40700	0.00900
296	0.22317	0.05952	0.05815	-0.00526	0.40734	0.00902
297	0.22464	0.05993	0.06264	-0.00522	0.40757	0.00902
298	0.22608	0.06057	0.06732	-0.00523	0.40750	0.00889
299	0.22745	0.06158	0.07217	-0.00515	0.40723	0.00860
300	0.22873	0.06298	0.07710	-0.00485	0.40697	0.00828
301	0.22993	0.06469	0.08194	-0.00441	0.40695	0.00812
302	0.23110	0.06652	0.08646	-0.00404	0.40734	0.00820
303	0.23236	0.06829	0.09061	-0.00387	0.40796	0.00838
304	0.23377	0.06991	0.09449	-0.00394	0.40843	0.00843
305	0.23534	0.07136	0.09827	-0.00412	0.40851	0.00833
306	0.23692	0.07268	0.10204	-0.00423	0.40833	0.00816
307	0.23830	0.07405	0.10579	-0.00414	0.40824	0.00800
308	0.23942	0.07560	0.10947	-0.00393	0.40840	0.00790
309	0.24049	0.07721	0.11295	-0.00379	0.40870	0.00792
310	0.24176	0.07869	0.11610	-0.00380	0.40895	0.00807
311	0.24327	0.07987	0.11886	-0.00383	0.40913	0.00814
312	0.24487	0.08062	0.12129	-0.00377	0.40934	0.00803
313	0.24643	0.08088	0.12344	-0.00363	0.40950	0.00791
314	0.24792	0.08068	0.12522	-0.00344	0.40946	0.00800
315	0.24939	0.08013	0.12659	-0.00324	0.40927	0.00827
316	0.25085	0.07940	0.12759	-0.00309	0.40916	0.00847
317	0.25225	0.07860	0.12825	-0.00301	0.40917	0.00853
318	0.25365	0.07768	0.12850	-0.00301	0.40913	0.00858
319	0.25509	0.07641	0.12826	-0.00314	0.40897	0.00873
320	0.25644	0.07462	0.12769	-0.00333	0.40885	0.00891
321	0.25751	0.07241	0.12710	-0.00342	0.40887	0.00898
322	0.25833	0.07000	0.12667	-0.00334	0.40896	0.00900
323	0.25912	0.06753	0.12627	-0.00321	0.40911	0.00909
324	0.25999	0.06505	0.12566	-0.00315	0.40938	0.00920
325	0.26085	0.06252	0.12467	-0.00323	0.40969	0.00918
326	0.26157	0.05989	0.12332	-0.00346	0.40979	0.00900
327	0.26210	0.05715	0.12170	-0.00366	0.40960	0.00882
328	0.26248	0.05435	0.11984	-0.00369	0.40940	0.00872
329	0.26273	0.05170	0.11770	-0.00353	0.40936	0.00869
330	0.26293	0.04945	0.11521	-0.00334	0.40935	0.00869
331	0.26315	0.04772	0.11223	-0.00327	0.40916	0.00868
332	0.26329	0.04638	0.10868	-0.00344	0.40885	0.00865
333	0.26320	0.04520	0.10471	-0.00385	0.40861	0.00868
334	0.26290	0.04403	0.10068	-0.00436	0.40850	0.00891
335	0.26247	0.04277	0.09690	-0.00478	0.40847	0.00936
336	0.26189	0.04128	0.09343	-0.00497	0.40851	0.00992
337	0.26087	0.03955	0.09010	-0.00496	0.40872	0.01041
338	0.25918	0.03776	0.08675	-0.00501	0.40899	0.01078
339	0.25698	0.03620	0.08331	-0.00526	0.40914	0.01102
340	0.25467	0.03498	0.07982	-0.00552	0.40917	0.01112
341	0.25254	0.03401	0.07625	-0.00552	0.40927	0.01108
342	0.25060	0.03318	0.07264	-0.00531	0.40947	0.01094
343	0.24860	0.03247	0.06907	-0.00509	0.40958	0.01082
344	0.24626	0.03189	0.06559	-0.00500	0.40942	0.01079
345	0.24352	0.03139	0.06213	-0.00492	0.40900	0.01084
346	0.24057	0.03097	0.05867	-0.00472	0.40858	0.01087
347	0.23770	0.03074	0.05517	-0.00441	0.40838	0.01088
348	0.23506	0.03075	0.05164	-0.00416	0.40842	0.01094
349	0.23262	0.03100	0.04809	-0.00411	0.40844	0.01111
350	0.23030	0.03137	0.04472	-0.00424	0.40822	0.01131
351	0.22811	0.03165	0.04171	-0.00448	0.40775	0.01146
352	0.22621	0.03165	0.03908	-0.00471	0.40727	0.01146
353	0.22480	0.03142	0.03667	-0.00478	0.40699	0.01126
354	0.22396	0.03111	0.03434	-0.00472	0.40691	0.01093
355	0.22366	0.03086	0.03213	-0.00473	0.40686	0.01066
