	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
255	0.11529	1.49465	0.85755	0.11593	0.49563	0.05483
256	0.12022	1.52985	0.86388	0.11722	0.49593	0.05479
257	0.12407	1.56245	0.86577	0.12027	0.49671	0.05472
258	0.12523	1.59161	0.86494	0.12424	0.49778	0.05473
259	0.12354	1.61642	0.86316	0.12786	0.49882	0.05484
260	0.12083	1.63590	0.86088	0.13009	0.49966	0.05511
261	0.11920	1.64973	0.85735	0.13055	0.50031	0.05551
262	0.11900	1.65889	0.85189	0.12953	0.50080	0.05597
263	0.11913	1.66534	0.84485	0.12782	0.50103	0.05629
264	0.11860	1.67061	0.83741	0.12648	0.50090	0.05626
265	0.11712	1.67459	0.83034	0.12621	0.50051	0.05563
266	0.11512	1.67611	0.82323	0.12708	0.50004	0.05429
267	0.11362	1.67443	0.81532	0.12870	0.49952	0.05224
268	0.11390	1.66988	0.80656	0.13062	0.49889	0.04960
269	0.11678	1.66322	0.79755	0.13252	0.49814	0.04645
270	0.12142	1.65475	0.78826	0.13429	0.49737	0.04294
271	0.12582	1.64446	0.77742	0.13603	0.49674	0.03930
272	0.12886	1.63270	0.76339	0.13776	0.49628	0.03581
273	0.13110	1.61974	0.74522	0.13931	0.49597	0.03273
274	0.13358	1.60466	0.72286	0.14050	0.49580	0.03023
275	0.13678	1.58555	0.69706	0.14148	0.49571	0.02837
276	0.14071	1.56123	0.66896	0.14235	0.49562	0.02695
277	0.14498	1.53202	0.63963	0.14292	0.49545	0.02562
278	0.14881	1.49884	0.60995	0.14314	0.49516	0.02405
279	0.15173	1.46239	0.58062	0.14335	0.49474	0.02206
280	0.15409	1.42311	0.55208	0.14399	0.49423	0.01966
281	0.15657	1.38127	0.52437	0.14510	0.49365	0.01714
282	0.15930	1.33683	0.49751	0.14627	0.49305	0.01491
283	0.16190	1.28964	0.47173	0.14709	0.49253	0.01335
284	0.16423	1.23980	0.44741	0.14754	0.49211	0.01262
285	0.16674	1.18763	0.42488	0.14777	0.49169	0.01251
286	0.17012	1.13349	0.40434	0.14783	0.49125	0.01269
287	0.17478	1.07750	0.38601	0.14775	0.49087	0.01292
288	0.18054	1.01964	0.37015	0.14768	0.49059	0.01308
289	0.18681	0.96005	0.35721	0.14773	0.49034	0.01320
290	0.19297	0.89937	0.34767	0.14778	0.48991	0.01348
291	0.19855	0.83871	0.34188	0.14765	0.48929	0.01416
292	0.20344	0.77911	0.33978	0.14742	0.48869	0.01517
293	0.20785	0.72132	0.34107	0.14724	0.48835	0.01614
294	0.21194	0.66581	0.34510	0.14698	0.48822	0.01684
295	0.21555	0.61283	0.35083	0.14645	0.48807	0.01739
296	0.21855	0.56237	0.35701	0.14570	0.48781	0.01794
297	0.22096	0.51426	0.36242	0.14517	0.48754	0.01848
298	0.22269	0.46837	0.36618	0.14526	0.48732	0.01889
299	0.22354	0.42450	0.36817	0.14592	0.48711	0.01912
300	0.22359	0.38241	0.36895	0.14666	0.48688	0.01922
301	0.22328	0.34199	0.36913	0.14701	0.48669	0.01936
302	0.22309	0.30337	0.36847	0.14691	0.48650	0.01961
303	0.22313	0.26665	0.36591	0.14644	0.48618	0.01979
304	0.22281	0.23154	0.36016	0.14575	0.48564	0.01963
305	0.22115	0.19756	0.35047	0.14490	0.48495	0.01907
306	0.21784	0.16451	0.33690	0.14388	0.48431	0.01837
307	0.21364	0.13278	0.31994	0.14288	0.48389	0.01772
308	0.20925	0.10324	0.30001	0.14231	0.48378	0.01706
309	0.20456	0.07695	0.27795	0.14230	0.48393	0.01629
310	0.19927	0.05448	0.25529	0.14248	0.48412	0.01559
311	0.19362	0.03547	0.23345	0.14239	0.48417	0.01502
312	0.18809	0.01924	0.21262	0.14195	0.48407	0.01443
313	0.18288	0.00575	0.19215	0.14143	0.48400	0.01365
314	0.17787	-0.00458	0.17176	0.14110	0.48403	0.01283
315	0.17282	-0.01165	0.15200	0.14101	0.48401	0.01228
316	0.16733	-0.01616	0.13376	0.14111	0.48395	0.01214
317	0.16101	-0.01925	0.11796	0.14121	0.48397	0.01231
318	0.15391	-0.02215	0.10516	0.14115	0.48413	0.01257
319	0.14663	-0.02547	0.09515	0.14088	0.48432	0.01276
320	0.13992	-0.02876	0.08689	0.14055	0.48442	0.01282
321	0.13436	-0.03113	0.07924	0.14037	0.48445	0.01269
322	0.13017	-0.03227	0.07175	0.14045	0.48440	0.01239
323	0.12715	-0.03263	0.06466	0.14074	0.48423	0.01191
324	0.12502	-0.03291	0.05838	0.14118	0.48390	0.01138
325	0.12372	-0.03350	0.05302	0.14177	0.48346	0.01099
326	0.12324	-0.03447	0.04853	0.14253	0.48295	0.01086
327	0.12328	-0.03574	0.04484	0.14337	0.48245	0.01091
328	0.12343	-0.03706	0.04184	0.14411	0.48209	0.01098
329	0.12339	-0.03815	0.03927	0.14463	0.48193	0.01103
330	0.12313	-0.03872	0.03693	0.14488	0.48191	0.01099
331	0.12278	-0.03876	0.03486	0.14496	0.48190	0.01090
332	0.12239	-0.03843	0.03324	0.14498	0.48179	0.01087
333	0.12187	-0.03793	0.03216	0.14489	0.48154	0.01097
334	0.12119	-0.03731	0.03155	0.14460	0.48118	0.01120
335	0.12051	-0.03667	0.03123	0.14428	0.48076	0.01153
336	0.11999	-0.03612	0.03098	0.14417	0.48038	0.01187
337	0.11959	-0.03570	0.03069	0.14427	0.48009	0.01209
338	0.11926	-0.03542	0.03035	0.14442	0.47986	0.01212
339	0.11903	-0.03528	0.02998	0.14453	0.47960	0.01203
340	0.11894	-0.03524	0.02958	0.14452	0.47920	0.01195
341	0.11893	-0.03523	0.02919	0.14435	0.47863	0.01192
342	0.11889	-0.03516	0.02892	0.14410	0.47795	0.01191
343	0.11863	-0.03495	0.02873	0.14372	0.47732	0.01195
344	0.11807	-0.03455	0.02853	0.14312	0.47691	0.01202
345	0.11733	-0.03402	0.02828	0.14246	0.47684	0.01204
346	0.11670	-0.03353	0.02805	0.14210	0.47705	0.01196
347	0.11637	-0.03319	0.02793	0.14216	0.47730	0.01180
348	0.11622	-0.03293	0.02796	0.14227	0.47738	0.01170
349	0.11609	-0.03266	0.02810	0.14198	0.47718	0.01176
350	0.11601	-0.03238	0.02827	0.14137	0.47673	0.01207
351	0.11603	-0.03222	0.02838	0.14089	0.47605	0.01262
352	0.11606	-0.03217	0.02847	0.14058	0.47512	0.01328
353	0.11601	-0.03212	0.02866	0.13997	0.47409	0.01381
354	0.11592	-0.03196	0.02893	0.13889	0.47332	0.01412
355	0.11592	-0.03170	0.02919	0.13778	0.47307	0.01424
356	0.11600	-0.03140	0.02930	0.13712	0.47332	0.01421
357	0.11604	-0.03114	0.02925	0.13698	0.47390	0.01409
358	0.11595	-0.03096	0.02910	0.13711	0.47456	0.01398
359	0.11576	-0.03087	0.02892	0.13736	0.47512	0.01389
360	0.11556	-0.03083	0.02868	0.13771	0.47549	0.01369
361	0.11538	-0.03084	0.02844	0.13799	0.47572	0.01331
362	0.11515	-0.03088	0.02837	0.13795	0.47578	0.01292
363	0.11480	-0.03089	0.02849	0.13751	0.47568	0.01274
