	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
287	-3.25300	-49.83637	329.22888	-0.39451	40.88311	458.10880
288	-3.24975	-49.84822	329.31424	-0.38303	40.87519	458.02896
289	-3.24637	-49.85958	329.39828	-0.37134	40.86765	457.95053
290	-3.24285	-49.87043	329.48099	-0.35944	40.86046	457.87338
291	-3.23919	-49.88078	329.56238	-0.34733	40.85364	457.79761
292	-3.23540	-49.89065	329.64243	-0.33501	40.84718	457.72314
293	-3.23149	-49.90002	329.72119	-0.32248	40.84106	457.64996
294	-3.22746	-49.90891	329.79868	-0.30972	40.83529	457.57797
295	-3.22331	-49.91732	329.87488	-0.29675	40.82987	457.50732
296	-3.21905	-49.92525	329.94983	-0.28355	40.82478	457.43793
297	-3.21469	-49.93272	330.02353	-0.27013	40.82001	457.36975
298	-3.21023	-49.93970	330.09601	-0.25648	40.81558	457.30276
299	-3.20568	-49.94623	330.16730	-0.24260	40.81146	457.23700
300	-3.20104	-49.95229	330.23730	-0.22849	40.80766	457.17242
301	-3.19632	-49.95791	330.30618	-0.21414	40.80417	457.10895
302	-3.19152	-49.96309	330.37393	-0.19955	40.80098	457.04669
303	-3.18665	-49.96782	330.44046	-0.18473	40.79808	456.98553
304	-3.18173	-49.97212	330.50592	-0.16967	40.79546	456.92548
305	-3.17675	-49.97601	330.57028	-0.15438	40.79313	456.86661
306	-3.17172	-49.97948	330.63348	-0.13884	40.79107	456.80875
307	-3.16665	-49.98253	330.69568	-0.12306	40.78928	456.75198
308	-3.16154	-49.98519	330.75681	-0.10704	40.78774	456.69629
309	-3.15641	-49.98745	330.81689	-0.09077	40.78646	456.64157
310	-3.15126	-49.98932	330.87595	-0.07427	40.78542	456.58792
311	-3.14609	-49.99082	330.93402	-0.05752	40.78461	456.53531
312	-3.14091	-49.99194	330.99109	-0.04053	40.78404	456.48367
313	-3.13573	-49.99269	331.04724	-0.02331	40.78369	456.43301
314	-3.13056	-49.99310	331.10239	-0.00585	40.78355	456.38333
315	-3.12540	-49.99314	331.15659	0.01185	40.78362	456.33466
316	-3.12025	-49.99284	331.20987	0.02978	40.78389	456.28687
317	-3.11514	-49.99221	331.26224	0.04794	40.78436	456.24005
318	-3.11005	-49.99125	331.31375	0.06633	40.78500	456.19412
319	-3.10499	-49.98996	331.36435	0.08495	40.78583	456.14917
320	-3.09997	-49.98837	331.41409	0.10377	40.78682	456.10501
321	-3.09500	-49.98646	331.46301	0.12281	40.78799	456.06186
322	-3.09007	-49.98426	331.51108	0.14204	40.78930	456.01950
323	-3.08520	-49.98177	331.55832	0.16147	40.79077	455.97800
324	-3.08038	-49.97899	331.60480	0.18109	40.79238	455.93732
325	-3.07562	-49.97593	331.65048	0.20089	40.79412	455.89746
326	-3.07093	-49.97261	331.69540	0.22087	40.79599	455.85840
327	-3.06630	-49.96902	331.73953	0.24101	40.79798	455.82019
328	-3.06176	-49.96519	331.78296	0.26130	40.80009	455.78268
329	-3.05730	-49.96112	331.82565	0.28174	40.80231	455.74600
330	-3.05292	-49.95683	331.86768	0.30232	40.80463	455.70999
331	-3.04864	-49.95231	331.90897	0.32302	40.80705	455.67474
332	-3.04446	-49.94758	331.94962	0.34383	40.80957	455.64017
