	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
203	0.25847	0.07368	0.12952	-0.01979	0.47311	0.00665
204	0.25835	0.07374	0.13028	-0.01977	0.47275	0.00689
205	0.25838	0.07380	0.13123	-0.01973	0.47239	0.00702
206	0.25853	0.07398	0.13243	-0.01965	0.47211	0.00714
207	0.25899	0.07433	0.13374	-0.01961	0.47197	0.00729
208	0.25972	0.07481	0.13482	-0.01972	0.47192	0.00747
209	0.26045	0.07537	0.13548	-0.01998	0.47189	0.00769
210	0.26107	0.07599	0.13588	-0.02017	0.47189	0.00788
211	0.26168	0.07656	0.13630	-0.02014	0.47187	0.00794
212	0.26232	0.07705	0.13682	-0.01988	0.47173	0.00794
213	0.26292	0.07738	0.13737	-0.01951	0.47146	0.00804
214	0.26333	0.07758	0.13795	-0.01901	0.47117	0.00830
215	0.26357	0.07777	0.13871	-0.01847	0.47098	0.00862
216	0.26383	0.07807	0.13975	-0.01807	0.47090	0.00886
217	0.26415	0.07843	0.14079	-0.01788	0.47090	0.00893
218	0.26435	0.07871	0.14145	-0.01779	0.47094	0.00877
219	0.26426	0.07893	0.14168	-0.01768	0.47098	0.00850
220	0.26393	0.07919	0.14171	-0.01767	0.47090	0.00834
221	0.26345	0.07948	0.14173	-0.01789	0.47072	0.00833
222	0.26287	0.07967	0.14164	-0.01826	0.47058	0.00827
223	0.26209	0.07981	0.14133	-0.01858	0.47067	0.00802
224	0.26112	0.08012	0.14100	-0.01879	0.47095	0.00766
225	0.26013	0.08066	0.14088	-0.01897	0.47123	0.00741
226	0.25925	0.08124	0.14087	-0.01916	0.47141	0.00735
227	0.25852	0.08173	0.14079	-0.01929	0.47155	0.00728
228	0.25795	0.08210	0.14062	-0.01928	0.47166	0.00710
229	0.25757	0.08232	0.14051	-0.01918	0.47163	0.00691
230	0.25744	0.08239	0.14063	-0.01911	0.47143	0.00682
231	0.25753	0.08242	0.14100	-0.01912	0.47119	0.00672
232	0.25776	0.08248	0.14140	-0.01910	0.47111	0.00640
233	0.25808	0.08252	0.14155	-0.01900	0.47116	0.00585
234	0.25842	0.08238	0.14132	-0.01887	0.47125	0.00526
235	0.25869	0.08205	0.14074	-0.01882	0.47139	0.00483
236	0.25893	0.08158	0.13987	-0.01896	0.47165	0.00458
237	0.25923	0.08095	0.13878	-0.01928	0.47205	0.00441
238	0.25966	0.08007	0.13760	-0.01957	0.47251	0.00431
239	0.26021	0.07902	0.13655	-0.01956	0.47293	0.00435
240	0.26077	0.07806	0.13575	-0.01919	0.47318	0.00455
241	0.26125	0.07729	0.13525	-0.01872	0.47325	0.00477
242	0.26169	0.07666	0.13490	-0.01849	0.47323	0.00481
243	0.26228	0.07610	0.13447	-0.01856	0.47326	0.00465
244	0.26323	0.07571	0.13395	-0.01871	0.47340	0.00453
245	0.26459	0.07560	0.13374	-0.01871	0.47354	0.00471
246	0.26626	0.07575	0.13418	-0.01850	0.47358	0.00510
247	0.26804	0.07605	0.13517	-0.01817	0.47352	0.00541
248	0.26981	0.07643	0.13632	-0.01780	0.47349	0.00548
249	0.27152	0.07692	0.13740	-0.01751	0.47365	0.00539
250	0.27305	0.07743	0.13835	-0.01737	0.47400	0.00532
251	0.27415	0.07779	0.13910	-0.01727	0.47431	0.00534
252	0.27465	0.07786	0.13966	-0.01697	0.47435	0.00549
253	0.27474	0.07763	0.14002	-0.01645	0.47404	0.00572
254	0.27472	0.07722	0.14020	-0.01589	0.47358	0.00588
255	0.27470	0.07675	0.14013	-0.01536	0.47317	0.00597
256	0.27450	0.07626	0.13979	-0.01483	0.47288	0.00625
257	0.27407	0.07572	0.13924	-0.01448	0.47261	0.00683
258	0.27344	0.07509	0.13857	-0.01452	0.47230	0.00749
259	0.27258	0.07440	0.13779	-0.01485	0.47194	0.00795
260	0.27158	0.07370	0.13686	-0.01522	0.47155	0.00820
261	0.27072	0.07300	0.13583	-0.01548	0.47122	0.00839
262	0.27002	0.07225	0.13480	-0.01561	0.47104	0.00857
263	0.26936	0.07132	0.13378	-0.01566	0.47098	0.00870
264	0.26866	0.07014	0.13259	-0.01554	0.47092	0.00881
265	0.26803	0.06876	0.13100	-0.01520	0.47070	0.00901
266	0.26760	0.06733	0.12911	-0.01472	0.47033	0.00936
267	0.26728	0.06600	0.12725	-0.01434	0.47009	0.00972
268	0.26677	0.06484	0.12559	-0.01416	0.47019	0.00995
269	0.26597	0.06383	0.12408	-0.01411	0.47050	0.01009
270	0.26510	0.06295	0.12260	-0.01405	0.47068	0.01029
271	0.26436	0.06218	0.12118	-0.01405	0.47058	0.01053
272	0.26369	0.06149	0.11994	-0.01429	0.47035	0.01071
273	0.26289	0.06085	0.11888	-0.01478	0.47025	0.01073
274	0.26195	0.06029	0.11790	-0.01536	0.47036	0.01064
275	0.26099	0.05984	0.11696	-0.01583	0.47059	0.01047
276	0.26013	0.05953	0.11631	-0.01603	0.47069	0.01026
277	0.25949	0.05930	0.11607	-0.01612	0.47059	0.01007
278	0.25917	0.05905	0.11601	-0.01637	0.47036	0.00994
279	0.25893	0.05887	0.11589	-0.01677	0.47020	0.00983
280	0.25841	0.05890	0.11579	-0.01707	0.47023	0.00960
281	0.25759	0.05913	0.11589	-0.01721	0.47046	0.00922
282	0.25684	0.05938	0.11614	-0.01740	0.47075	0.00895
283	0.25637	0.05954	0.11638	-0.01772	0.47090	0.00904
284	0.25595	0.05969	0.11672	-0.01807	0.47081	0.00948
285	0.25520	0.06000	0.11732	-0.01830	0.47061	0.00992
286	0.25407	0.06058	0.11809	-0.01832	0.47054	0.01005
287	0.25292	0.06132	0.11878	-0.01827	0.47064	0.00992
288	0.25208	0.06205	0.11934	-0.01848	0.47074	0.00978
289	0.25154	0.06274	0.11984	-0.01904	0.47068	0.00977
290	0.25116	0.06336	0.12036	-0.01964	0.47048	0.00987
291	0.25082	0.06387	0.12080	-0.01990	0.47028	0.00996
292	0.25045	0.06426	0.12106	-0.01980	0.47011	0.01003
293	0.24990	0.06458	0.12114	-0.01946	0.46995	0.01007
294	0.24912	0.06487	0.12113	-0.01912	0.46981	0.01011
295	0.24840	0.06499	0.12108	-0.01900	0.46972	0.01017
296	0.24798	0.06479	0.12097	-0.01915	0.46970	0.01026
297	0.24785	0.06440	0.12075	-0.01945	0.46975	0.01028
298	0.24789	0.06406	0.12034	-0.01982	0.46978	0.01020
299	0.24804	0.06383	0.11959	-0.02022	0.46971	0.01003
300	0.24820	0.06353	0.11842	-0.02061	0.46962	0.00981
301	0.24819	0.06307	0.11700	-0.02091	0.46971	0.00956
302	0.24787	0.06254	0.11567	-0.02106	0.47010	0.00935
303	0.24729	0.06201	0.11462	-0.02113	0.47062	0.00922
304	0.24668	0.06140	0.11373	-0.02118	0.47095	0.00914
305	0.24624	0.06056	0.11265	-0.02113	0.47095	0.00905
306	0.24601	0.05961	0.11108	-0.02099	0.47072	0.00899
307	0.24593	0.05892	0.10901	-0.02088	0.47046	0.00899
308	0.24586	0.05870	0.10666	-0.02091	0.47039	0.00896
309	0.24565	0.05867	0.10424	-0.02103	0.47064	0.00878
310	0.24523	0.05836	0.10172	-0.02108	0.47116	0.00859
311	0.24466	0.05757	0.09900	-0.02094	0.47168	0.00858
312	0.24402	0.05652	0.09603	-0.02065	0.47197	0.00874
313	0.24321	0.05533	0.09291	-0.02042	0.47202	0.00895
314	0.24210	0.05398	0.08972	-0.02042	0.47196	0.00916
315	0.24063	0.05253	0.08654	-0.02066	0.47190	0.00939
316	0.23879	0.05121	0.08347	-0.02096	0.47189	0.00960
317	0.23671	0.05016	0.08053	-0.02113	0.47201	0.00964
318	0.23455	0.04922	0.07764	-0.02118	0.47232	0.00951
319	0.23241	0.04820	0.07464	-0.02122	0.47276	0.00937
320	0.23040	0.04707	0.07136	-0.02121	0.47321	0.00933
321	0.22858	0.04598	0.06777	-0.02117	0.47361	0.00931
322	0.22678	0.04508	0.06405	-0.02127	0.47402	0.00933
323	0.22478	0.04445	0.06045	-0.02167	0.47440	0.00951
324	0.22257	0.04402	0.05709	-0.02230	0.47454	0.00995
325	0.22045	0.04366	0.05396	-0.02294	0.47431	0.01052
326	0.21869	0.04333	0.05107	-0.02344	0.47390	0.01101
327	0.21734	0.04300	0.04838	-0.02372	0.47366	0.01124
328	0.21633	0.04253	0.04578	-0.02376	0.47383	0.01116
329	0.21551	0.04187	0.04307	-0.02352	0.47430	0.01086
330	0.21470	0.04117	0.04017	-0.02307	0.47477	0.01058
331	0.21382	0.04061	0.03724	-0.02270	0.47501	0.01058
332	0.21299	0.04030	0.03451	-0.02265	0.47498	0.01087
333	0.21238	0.04022	0.03201	-0.02294	0.47481	0.01131
334	0.21196	0.04030	0.02960	-0.02348	0.47465	0.01191
335	0.21158	0.04040	0.02723	-0.02419	0.47460	0.01278
336	0.21114	0.04033	0.02492	-0.02485	0.47470	0.01385
337	0.21077	0.03995	0.02269	-0.02517	0.47498	0.01499
338	0.21064	0.03932	0.02055	-0.02527	0.47544	0.01620
339	0.21082	0.03862	0.01859	-0.02543	0.47598	0.01768
340	0.21123	0.03794	0.01692	-0.02567	0.47651	0.01949
341	0.21172	0.03725	0.01547	-0.02576	0.47703	0.02154
342	0.21219	0.03651	0.01413	-0.02563	0.47756	0.02383
343	0.21266	0.03575	0.01292	-0.02546	0.47808	0.02657
344	0.21310	0.03508	0.01184	-0.02554	0.47856	0.02994
345	0.21344	0.03459	0.01096	-0.02595	0.47906	0.03389
346	0.21362	0.03429	0.01041	-0.02658	0.47969	0.03821
347	0.21378	0.03408	0.01021	-0.02722	0.48046	0.04271
348	0.21411	0.03387	0.01012	-0.02770	0.48128	0.04708
349	0.21464	0.03368	0.00987	-0.02783	0.48195	0.05088
350	0.21520	0.03352	0.00949	-0.02757	0.48234	0.05399
351	0.21563	0.03334	0.00917	-0.02713	0.48243	0.05677
352	0.21587	0.03317	0.00900	-0.02669	0.48243	0.05959
353	0.21591	0.03320	0.00891	-0.02623	0.48253	0.06244
354	0.21589	0.03350	0.00879	-0.02573	0.48267	0.06508
355	0.21593	0.03386	0.00861	-0.02521	0.48270	0.06743
356	0.21598	0.03405	0.00842	-0.02469	0.48253	0.06967
357	0.21594	0.03396	0.00832	-0.02426	0.48214	0.07188
