	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
337	0.13732	0.01888	0.01012	0.06014	0.46991	0.00753
338	0.13730	0.01876	0.01017	0.06008	0.46995	0.00726
339	0.13730	0.01868	0.01023	0.06014	0.46994	0.00701
340	0.13727	0.01860	0.01034	0.06030	0.46989	0.00697
341	0.13715	0.01856	0.01049	0.06049	0.46983	0.00718
342	0.13696	0.01858	0.01065	0.06060	0.46978	0.00746
343	0.13676	0.01867	0.01078	0.06061	0.46979	0.00762
344	0.13664	0.01876	0.01084	0.06054	0.46985	0.00757
345	0.13659	0.01877	0.01090	0.06049	0.46991	0.00749
346	0.13661	0.01866	0.01105	0.06056	0.46995	0.00749
347	0.13665	0.01853	0.01113	0.06074	0.47005	0.00745
348	0.13671	0.01847	0.01100	0.06089	0.47026	0.00720
349	0.13682	0.01848	0.01076	0.06092	0.47052	0.00678
350	0.13693	0.01853	0.01065	0.06090	0.47067	0.00652
351	0.13703	0.01862	0.01067	0.06096	0.47069	0.00660
352	0.13711	0.01874	0.01067	0.06106	0.47066	0.00692
353	0.13717	0.01884	0.01060	0.06105	0.47066	0.00722
354	0.13716	0.01889	0.01051	0.06088	0.47066	0.00737
355	0.13708	0.01897	0.01044	0.06065	0.47056	0.00746
356	0.13696	0.01909	0.01040	0.06041	0.47034	0.00762
357	0.13687	0.01919	0.01044	0.06020	0.47012	0.00787
358	0.13681	0.01917	0.01057	0.06015	0.47001	0.00803
359	0.13679	0.01900	0.01070	0.06030	0.47004	0.00801
360	0.13689	0.01877	0.01067	0.06055	0.47008	0.00790
361	0.13708	0.01865	0.01040	0.06080	0.47007	0.00778
362	0.13724	0.01868	0.01005	0.06110	0.47005	0.00769
363	0.13730	0.01873	0.00991	0.06147	0.47012	0.00761
364	0.13730	0.01867	0.01011	0.06184	0.47028	0.00756
